state,neigh,AFFGEOID,AFFGEOID.a,AFFGEOID.b,n_obs,sum_pernum,mean_pernum,p_move,mean_inc,sd_inc,q1_inc,q2_inc,q3_inc,mean_inc_nwage,mean_i_white,mean_i_black,mean_i_native,mean_i_asian,mean_i_hispanic,p_ownership,mean_rent,sd_rent,q1_rent,q2_rent,q3_rent,mean_valueh,sd_valueh,q1_valueh,q2_valueh,q3_valueh
TN,muni,0500000US47035,,,333,874,2.62462462462463,0.658536585365854,494.377777777778,603.299189749643,0,245,720,0.0786516853932584,1,0,0,0,1,0.516516516516517,11.5345911949686,6.95080349987295,6,10,15,292593.837209302,1684598.00767741,500,1200,3000
TN,muni,0500000US47037,,,110359,320652,2.90553557027519,0.732976206768461,470.181669477448,769.276048331119,0,65,720,0.156045932969639,0.769398055437255,0.230538515209453,9.06133618463379e-06,5.43680171078027e-05,1,0.371157390342794,34.5047432367728,168.867798988681,10,15,25,105494.518124038,1003423.96364527,1500,2500,4500
TN,muni,0500000US47043,,,4027,11015,2.73528681400546,0.565779066701819,281.381706528765,506.176909546805,0,0,480,0.163159598575591,0.938664017879315,0.0613359821206854,0,0,1,0.496501749125437,9.86836628511967,6.31671871136995,5,8,13,52003.9063915451,707688.680278006,600,1500,2500
TN,muni,0500000US47045,,,8137,22485,2.76330342878211,0.692639525478566,279.071110404073,541.008587143082,0,0,399,0.254016223954191,0.75617549465405,0.24370160992995,0,0.000122895416000983,1,0.329960019990005,13.9124929124929,80.095966169581,6,8,14,44778.843619841,643977.500577932,600,1800,3800
TN,muni,0500000US47047,,,290,913,3.14827586206897,0.503521126760563,293.89592760181,611.290202642719,0,0,300,0.25,0.544827586206897,0.455172413793104,0,0,1,0.475862068965517,4.25,3.97217140810467,2,2,5,1854.63768115942,2304.76851266324,700,1000,2500
TN,muni,0500000US47051,,,3237,9527,2.94315724436206,0.602146930560215,286.928126298297,591.054539134806,0,0,387,0.275590551181102,0.905159097930182,0.0948409020698177,0,0,1,0.459755715627936,31.1023851076207,280.483255825961,6,8,15,118380.412125341,1069964.62941135,1000,2000,3500
TN,muni,0500000US47059,,,4881,14521,2.97500512190125,0.629818342933097,491.427608232789,681.828382444497,0,260,737.5,0.176102699144174,0.90760090145462,0.09239909854538,0,0,1,0.441635840526099,46.6642502861503,299.177789657795,8,10,20,384479.302466263,1915627.18728127,1000,2500,4500
TN,muni,0500000US47063,,,4866,13328,2.7390053431977,0.678286625655047,467.207026348808,1487.75492854672,0,156,700,0.273967551622419,0.91718043567612,0.08281956432388,0,0,1,0.499897098168347,30.5571847507331,151.309249815565,7,10,18,199794.673116509,1391765.42338796,500,1500,3500
TN,muni,0500000US47065,,,96766,285779,2.95329971270901,0.732153214652211,524.128897851455,818.040758320145,0,156,780,0.138360082855412,0.789760866420024,0.209743091581754,0.000392699915259492,0.000103342082963024,1,0.347109602531062,54.9773462783172,373.159964328292,10,14,20,107811.336763951,1014757.86520934,1500,2500,4500
TN,muni,0500000US47073,,,1936,6032,3.11570247933884,1,273.312920089619,583.313277395869,0,0,300,0.287630402384501,0.856921487603306,0.143078512396694,0,0,1,0.554805194805195,11.0765606595995,7.47133070454058,5,10,15,255452.037453184,1570082.18858122,500,1500,4500
TN,muni,0500000US47079,,,6560,18735,2.85594512195122,0.694890271863741,331.532103182075,670.26687973589,0,0,427.5,0.232575615254556,0.761280487804878,0.238719512195122,0,0,1,0.401271909415232,23.9308342133052,194.524406912742,6,10,18,188022.694240433,1349368.07386583,700,2000,3500
