cbdname,region_all,WRLURI_metro2,Tot_FrcDev50_01,Tot_FrcUnavail50_01,numtracts,region_gamma101a_units_IV,region_gamma201a_units_IV,region_gamma101a_space_IV,region_gamma201a_space_IV
Louisville,4520,-0.2420101761817932,0.04017848148941994,0.19104373455047607,230,0.4352133870124817,0.451662540435791,0.5144718289375305,0.527158260345459
Lowell,4560,2.006700277328491,0.1334506720304489,0.2278568297624588,63,0.1618344783782959,0.22018155455589294,0.24443849921226501,0.29343926906585693
Lubbock,4600,-0.7404838800430298,0.016234055161476135,0.006722761318087578,61,0.5483546853065491,0.5687065720558167,0.6601788401603699,0.6759006977081299
Lynchburg,4640,-0.8332147002220154,0.01582895591855049,0.4289296865463257,54,0.5765904188156128,0.5951939821243286,0.6089231371879578,0.6226970553398132
Macon,4680,-0.8393948078155518,0.018831145018339157,0.1518658995628357,70,0.549789547920227,0.5662440657615662,0.593403697013855,0.6061940789222717
Madison,4720,0.3827478885650635,0.026097411289811134,0.20861519873142242,91,0.3786154091358185,0.41197651624679565,0.4466087818145752,0.47516125440597534
Manchester,4760,1.3982810974121094,0.061530664563179016,0.2978334426879883,54,0.21508121490478516,0.3040371537208557,0.28895050287246704,0.35984718799591064
Mansfield,4800,-0.8995200395584106,0.020839938893914223,0.088695526123046875,32,0.506838858127594,0.5311877131462097,0.5586888194084167,0.5803138613700867
McAllen,4880,-0.4633740186691284,0.03261124715209007,0.013401024043560028,80,0.6694886684417725,0.6970872282981873,0.7692083716392517,0.7909099459648132
Medford,4890,0.8481884598731995,0.012618440203368664,0.6825265288352966,36,0.5363036394119263,0.5631241202354431,0.5895134210586548,0.6096648573875427
Memphis,4920,0.9950388073921204,0.051845353096723557,0.13481859862804413,232,0.34246814250946045,0.3778291642665863,0.44496163725852966,0.47368770837783813
"Merced,CA",4940,0.630153238773346,0.015772055834531784,0.16581536829471588,47,0.7211722135543823,0.7500072121620178,0.8140974044799805,0.8355833292007446
Meriden,9005,0.39098238945007324,0.08276008814573288,0.26648426055908203,229,0.18406973779201508,0.25403550267219543,0.2777286767959595,0.3276549279689789
"MesaCounty,CO",2995,0.4686405658721924,0.008887498639523983,0.4497112035751343,28,0.5030158758163452,0.5193814635276794,0.5641345977783203,0.5768352150917053
Miami,5000,0.9852035045623779,0.08055154979228973,0.06434556841850281,346,0.41594770550727844,0.44283804297447205,0.5341013073921204,0.5549005270004272
Milwaukee,5080,0.5143735408782959,0.06709232181310654,0.06934306770563126,498,0.31306275725364685,0.3610914647579193,0.4052250385284424,0.44431695342063904
